Real,Previsto
1.0,1.1527307589926203
0.0,0.30124677837604064
6.0,2.7167757256404115
2.0,3.693884906865051
5.0,2.636655763504665
8.0,2.5599748937584206
6.0,5.223933459788389
0.0,1.441861124979068
0.0,-0.11336501375715845
5.0,4.265942850446216
2.0,2.7498288550298455
3.0,3.2906584158272936
3.0,5.562096360497111
3.0,3.9567340371499897
0.0,0.7838877182234718
0.0,0.7137070046516815
3.0,4.097232681512741
0.0,1.9990954299820514
4.0,1.5318695930458712
2.0,2.722532034486891
0.0,2.022411817783125
0.0,-0.2601817455182868
0.0,0.07963438461264992
5.0,2.1714446748310348
0.0,2.4848128370775617
3.0,2.0065432330646233
1.0,2.0434078613944164
2.0,0.47740969870958194
1.0,0.3601932520290477
2.0,0.3485372346923614
1.0,3.7217794163476317
1.0,0.6569589370998493
1.0,1.7512425971564445
1.0,1.0910374653040849
0.0,1.161887531574857
0.0,-0.14216000389143751
0.0,0.670775655141182
1.0,0.9970565631163539
2.0,0.8070403774214818
0.0,1.3393483811023517
1.0,0.44871793924616865
0.0,0.47740969870958194
0.0,-0.42354745445717423
0.0,-0.08373132432623755
1.0,0.843428387070167
0.0,1.3414367699651246
0.0,0.48529291378934586
1.0,0.5467100351021482
1.0,0.7380122344176759
0.0,0.11229048510473082
1.0,-0.11336501375715845
0.0,1.3294884554984503
0.0,0.38563007775627733
0.0,0.38563007775627733
0.0,0.526058609477156
0.0,0.37848444548972127
0.0,-0.42354745445717423
1.0,0.06635011599539424
0.0,1.179407015176815
0.0,0.43758593298927934
0.0,0.43758593298927934
0.0,0.427933024388528
1.0,0.4426269703305103
0.0,-0.15221859511360153
0.0,0.06635011599539424
0.0,0.693346946748531
0.0,0.43758593298927934
2.0,0.43758593298927934
0.0,0.9709673517048759
0.0,0.3265285902567193
0.0,-0.42354745445717423
0.0,-0.08373132432623755
0.0,0.745302801981533
0.0,0.4079522435583584
0.0,1.0924300764236319
1.0,0.3505923541575405
1.0,0.47740969870958194
0.0,0.008721104561424808
0.0,-0.08373132432623755
2.0,0.745302801981533
0.0,1.1056679113366814
0.0,0.38563007775627733
0.0,0.4783516286770896
0.0,0.35616227968764025
0.0,-0.4012252886550932
0.0,-0.031775469093235593
0.0,1.3481910901828862
0.0,0.38563007775627733
0.0,0.38563007775627733
0.0,0.48189836440164546
0.0,0.22840300516809114
0.0,-0.375840473657108
0.0,-0.08373132432623755
0.0,0.693346946748531
0.0,0.4079522435583584
0.0,0.4079522435583584
0.0,0.427933024388528
0.0,0.20608083936601013
0.0,-0.3715915992241723
0.0,-0.061409158524156515
1.0,0.745302801981533
0.0,0.7342955461545927
0.0,0.43333299738009984
0.0,0.3759731079792819
1.0,0.4680077241522517
